time,symbol,buy/sell,quantity,price
20200828,000007.SZ,buy,2347,9.1
20200831,000002.SZ,buy,783,27.27
20200902,000004.SZ,buy,863,24.68
20200902,000007.SZ,sell,2347,9.2
20200903,000007.SZ,buy,2375,9.05
20200907,000001.SZ,sell,1411,14.94
20200907,000004.SZ,sell,863,24.2
20200907,000005.SZ,buy,7447,2.89
20200908,000005.SZ,sell,7447,3.0
20200909,000008.SZ,buy,6954,3.12
20200910,000001.SZ,buy,1406,15.34
20200910,000005.SZ,buy,7334,2.87
20200911,000002.SZ,sell,783,28.0
20200911,000007.SZ,sell,2375,9.12
20200914,000005.SZ,sell,7334,2.86
20200915,000001.SZ,sell,1406,15.35
20200915,000008.SZ,sell,6954,3.0
20200916,000004.SZ,buy,951,22.49
20200916,000006.SZ,buy,3627,5.9
20200916,000007.SZ,buy,2301,9.3
20200916,000009.SZ,buy,2951,7.25
20200917,000001.SZ,buy,1374,15.57
20200918,000002.SZ,buy,1,29.3
20200922,000007.SZ,sell,2301,9.15
20200924,000001.SZ,sell,1374,15.12
20200924,000004.SZ,sell,951,22.91
20200924,000008.SZ,sell,0,2.92
20200924,000009.SZ,sell,2951,6.86
20200925,000002.SZ,sell,1,27.62
20200925,000006.SZ,sell,3627,6.18
20200928,000006.SZ,buy,3418,6.22
20200929,000006.SZ,sell,3418,6.47
20200929,000007.SZ,buy,2364,8.99
20200930,000007.SZ,sell,2364,9.4
20201009,000002.SZ,buy,771,28.03
20201009,000004.SZ,buy,912,23.71
20201009,000006.SZ,buy,3152,6.86
20201009,000009.SZ,buy,2856,7.57
20201012,000005.SZ,buy,7863,2.75
20201012,000007.SZ,buy,2,9.43
20201013,000002.SZ,sell,771,27.99
20201013,000008.SZ,buy,7342,2.94
20201015,000007.SZ,sell,2,9.52
20201016,000002.SZ,sell,0,27.86
20201016,000006.SZ,sell,3152,6.2
20201016,000007.SZ,buy,2138,9.15
20201016,000008.SZ,sell,7342,2.89
20201019,000005.SZ,sell,7863,2.67
20201019,000007.SZ,sell,2138,9.2
20201019,000009.SZ,sell,2856,7.7
20201021,000005.SZ,buy,8063,2.66
20201022,000005.SZ,sell,8063,2.61
20201026,000002.SZ,buy,760,28.0
20201027,000004.SZ,sell,912,26.09
20201027,000007.SZ,buy,2270,9.4
20201027,000009.SZ,buy,2811,7.59
20201028,000002.SZ,sell,760,26.92
20201028,000005.SZ,buy,8157,2.62
20201028,000008.SZ,buy,7605,2.81
20201029,000001.SZ,sell,0,17.77
20201029,000004.SZ,buy,774,27.17
20201029,000007.SZ,sell,2270,8.87
20201030,000005.SZ,sell,8157,2.53
20201030,000008.SZ,sell,7605,2.69
20201103,000001.SZ,buy,1145,17.96
20201103,000002.SZ,buy,734,28.03
20201103,000009.SZ,sell,2811,7.77
20201104,000004.SZ,sell,774,25.51
20201104,000007.SZ,buy,2152,9.59
20201105,000005.SZ,buy,7798,2.65
20201105,000006.SZ,buy,3435,5.93
20201106,000008.SZ,buy,2,2.71
20201110,000001.SZ,sell,1145,18.11
20201110,000007.SZ,sell,2152,9.47
20201111,000006.SZ,sell,3435,5.75
20201111,000009.SZ,sell,0,7.64
20201112,000001.SZ,buy,1168,17.66
20201113,000005.SZ,sell,7798,2.68
20201113,000008.SZ,sell,2,2.72
20201116,000001.SZ,sell,1168,17.37
20201116,000005.SZ,buy,7623,2.69
20201117,000002.SZ,sell,734,29.95
20201117,000008.SZ,buy,7481,2.75
20201117,000009.SZ,buy,2768,7.43
20201118,000009.SZ,sell,2768,7.44
20201119,000001.SZ,buy,1094,18.85
20201119,000002.SZ,buy,667,30.91
20201119,000004.SZ,sell,0,32.62
20201119,000006.SZ,buy,3575,5.77
20201120,000005.SZ,sell,7623,2.67
20201123,000004.SZ,buy,660,31.21
20201123,000008.SZ,sell,7481,2.75
20201124,000005.SZ,buy,7770,2.68
20201124,000006.SZ,sell,3575,5.74
20201124,000009.SZ,buy,2689,7.63
20201125,000004.SZ,sell,660,29.77
20201125,000008.SZ,buy,7199,2.73
20201127,000002.SZ,sell,667,31.61
20201127,000005.SZ,sell,7770,2.58
20201127,000008.SZ,sell,7199,2.72
20201127,000009.SZ,sell,2689,7.5
20201130,000001.SZ,sell,1094,19.74
20201130,000002.SZ,buy,667,30.7
20201201,000001.SZ,buy,1022,20.05
20201202,000006.SZ,buy,3516,5.83
20201203,000002.SZ,sell,667,30.9
20201203,000005.SZ,buy,7871,2.6
20201203,000007.SZ,sell,0,8.08
20201203,000008.SZ,buy,7388,2.77
20201207,000001.SZ,sell,1022,18.91
20201208,000006.SZ,sell,3516,5.64
20201208,000008.SZ,sell,7388,2.73
20201209,000005.SZ,sell,7871,2.52
20201210,000007.SZ,buy,2471,8.08
20201211,000007.SZ,sell,2471,7.99
20201216,000001.SZ,buy,1048,19.01
20201216,000002.SZ,buy,696,28.6
20201217,000006.SZ,buy,3609,5.52
20201217,000007.SZ,buy,2330,8.55
20201218,000002.SZ,sell,696,28.5
20201218,000005.SZ,buy,7852,2.54
20201218,000008.SZ,buy,7546,2.63
20201221,000001.SZ,sell,1048,18.28
20201221,000008.SZ,sell,7546,2.64
20201223,000005.SZ,sell,7852,2.54
20201223,000006.SZ,sell,3609,5.88
20201224,000006.SZ,buy,3504,5.72
20201224,000007.SZ,sell,2330,8.58
20201228,000001.SZ,buy,1060,18.85
20201229,000002.SZ,buy,697,28.52
20201229,000006.SZ,sell,3504,5.53
20201229,000009.SZ,sell,0,7.33
20210104,000005.SZ,buy,7953,2.52
